,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.0957773485854183e-10,1.0740734798532717e-08,1.3215548592848835e-10,1.0773466263799176e-08
1,0.5,9.402074966719102e-11,7.761163155446294e-08,1.9144815552711624e-10,7.726372788153785e-08
2,1.0,6.526199511374463e-12,4.759571548394254e-08,1.3270119883947006e-10,4.44087223107135e-08
3,1.5,1.8167575332906463e-11,3.043785113546385e-08,2.0002854056102384e-10,2.858091050059157e-08
4,2.0,2.048000576396184e-10,1.6413150823943604e-08,4.909565476190614e-10,1.637545457419386e-08
5,2.5,1.884461022348836e-09,1.0733726107367667e-08,2.231523108070934e-09,1.1026417494051057e-08
6,3.0,1.0449599728507869e-08,9.957711795576625e-09,1.0570936553580185e-08,1.0047383229044072e-08
7,3.5,3.3757067517675535e-08,9.639727292163157e-09,3.2593400733576545e-08,9.91035982054627e-09
8,4.0,7.04860222624085e-08,1.2198109099044098e-08,6.689961609568197e-08,1.2253297326851491e-08
9,4.5,8.662664474086993e-08,1.7047443523076305e-08,8.094866083288978e-08,1.6329363955702424e-08
10,5.0,6.310627904448015e-08,2.1052580310904024e-08,6.454256802816091e-08,2.049960714917004e-08
11,5.5,4.384217181829152e-08,1.9215782137244042e-08,4.4319727357506976e-08,1.8083031956972782e-08
12,6.0,2.662738177729201e-08,1.3698983221771568e-08,2.6926336950570996e-08,1.329632757698392e-08
13,6.5,1.6954448572411004e-08,7.93053029067571e-09,1.7405430644284528e-08,7.497736822022566e-09
14,7.0,1.1848585866846285e-08,2.926375422017082e-09,1.1977476832750643e-08,3.0522447793923275e-09
15,7.5,9.556115999752096e-09,9.822231011615054e-10,1.0190028811175255e-08,1.087908836645299e-09
16,8.0,1.3273442553348351e-08,4.811886069325516e-10,1.3870793486332062e-08,5.345478450846417e-10
17,8.5,2.1354190505020318e-08,3.557211095927545e-10,2.2109877888148163e-08,3.8579074589406915e-10
18,9.0,3.1149916918713505e-08,3.152369599720495e-10,3.286736793911781e-08,3.247535402129822e-10
19,9.5,1.0686529386124044e-07,3.1661196943544405e-10,1.1100988906801359e-07,3.176824274215891e-10
20,10.0,1.8867046343917064e-07,3.0489714420666255e-10,1.8889579248477192e-07,2.8483513223011356e-10
21,10.5,4.9012952440031096e-08,2.5624600491067603e-10,4.864388275429725e-08,2.381050839389445e-10
22,11.0,2.4484879270374172e-09,2.4522839024126553e-10,2.433940916744687e-09,2.3688015818847244e-10
23,11.5,1.6714329556960931e-10,2.0779968253316656e-10,1.9102096387382623e-10,2.0232121562339344e-10
24,12.0,2.7237718395369846e-11,1.568668687097947e-10,4.0164551340818385e-11,1.511714679646888e-10
25,12.5,9.868635673538324e-12,1.01261520951218e-10,1.6033669239958398e-11,9.611271096841075e-11
26,13.0,7.882203434886842e-12,7.412615454993982e-11,1.1441023963962018e-11,7.245717265152851e-11
