,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,2.807001251310206e-11,1.415404617804089e-09,3.544768004017151e-11,1.3420553882699647e-09
1,0.5,2.4109559829680015e-11,9.897906852406945e-09,5.379410312030145e-11,9.890061464336718e-09
2,1.0,1.5669906477504443e-12,3.8402439938341056e-09,3.6776011544835215e-11,3.707250679515773e-09
3,1.5,3.0040628163108732e-12,1.9745049017649537e-09,4.768094636332228e-11,1.914287064477917e-09
4,2.0,2.1486882301123953e-11,1.0383982838329414e-09,9.537684181928741e-11,1.0780029058148587e-09
5,2.5,1.8491043166793677e-10,5.787458217809811e-10,2.696631241555005e-10,5.897685416081631e-10
6,3.0,1.0554644054247534e-09,5.407207234848422e-10,1.0293471607903667e-09,5.644449734041418e-10
7,3.5,3.6141242813809586e-09,7.54180728256364e-10,3.2977389204169565e-09,8.260402941616558e-10
8,4.0,7.469867307894725e-09,1.5030433372401094e-09,6.9942332275518166e-09,1.5721479673889228e-09
9,4.5,9.804305128623195e-09,2.792310444034882e-09,9.066817551653117e-09,2.79089332155336e-09
10,5.0,7.403903508925277e-09,4.262193312340247e-09,7.108120067695115e-09,3.982480237575713e-09
11,5.5,4.666771688275972e-09,4.6597311996712755e-09,4.858513644455138e-09,4.401990823882732e-09
12,6.0,2.3507935729278036e-09,3.399578954197561e-09,2.372986799801301e-09,3.1872323395173468e-09
13,6.5,1.1345445786983422e-09,1.6238604689459614e-09,1.1640299738295166e-09,1.5680611296372653e-09
14,7.0,5.099681624887021e-10,5.437806307932311e-10,5.730444656846995e-10,5.665571263383801e-10
15,7.5,2.961173035230101e-10,1.4252912072026396e-10,3.6634652273447065e-10,1.5898408974856155e-10
16,8.0,2.7293531712526264e-10,4.829426085709471e-11,3.284361487534566e-10,6.167525019928536e-11
17,8.5,4.6466414193068625e-10,2.985839383018571e-11,5.544921483541093e-10,3.826494562470291e-11
18,9.0,2.1668769006791286e-09,2.902443591863594e-11,2.3447915740697806e-09,3.2256960146069003e-11
19,9.5,3.433680289730152e-08,4.2375128189604064e-11,3.5483294000527895e-08,4.177972277764047e-11
20,10.0,1.1152121300892266e-07,5.354722878445065e-11,1.1283276910609289e-07,5.155560018626655e-11
21,10.5,2.6543359696918853e-08,5.3301606793932905e-11,2.6666359503813272e-08,5.0263441966707123e-11
22,11.0,5.250629913687013e-10,4.9968209457183813e-11,5.199500608179675e-10,4.5761865037334606e-11
23,11.5,9.796373044185422e-12,4.117183300653687e-11,1.149492412097014e-11,3.708018834832077e-11
24,12.0,3.0396767975158276e-12,3.1403142477522476e-11,4.090134140115529e-12,2.8068024297014595e-11
25,12.5,2.6264465853830352e-12,1.7357568896506475e-11,3.4970776923498938e-12,1.5739538940131395e-11
26,13.0,2.225338480577536e-12,9.658650423525435e-12,2.694133144137438e-12,1.0113122762982777e-11
