,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.3059688285992954e-10,1.064700474011152e-08,1.5442673554205902e-10,1.1502522545918561e-08
1,0.5,1.1165157590946574e-10,7.503400971304852e-08,1.623365620079216e-10,7.487672864278887e-08
2,1.0,7.448567555948887e-12,4.132502992163626e-08,5.50616313205625e-11,4.1009233680171975e-08
3,1.5,1.8610766738865337e-11,2.3006939501306735e-08,8.48725398342571e-11,2.4306372775467903e-08
4,2.0,2.0195713830635622e-10,1.2536255932691104e-08,2.9953962731379144e-10,1.3083027562570356e-08
5,2.5,1.8156525953375132e-09,9.592594291328821e-09,2.014516154672932e-09,9.978303021706383e-09
6,3.0,9.139133825023002e-09,1.0079180408875732e-08,9.274850301122945e-09,1.0006019758648528e-08
7,3.5,2.8752990284321746e-08,1.0531694503252297e-08,2.8996421368829752e-08,1.08673748828954e-08
8,4.0,5.466533557590047e-08,1.1311904109307401e-08,5.382489535135047e-08,1.122257822098261e-08
9,4.5,7.309142130102613e-08,1.415463904646819e-08,7.253215817916639e-08,1.4046409080551434e-08
10,5.0,5.169166956401881e-08,1.944312148462333e-08,5.5187733860740913e-08,1.980030675874412e-08
11,5.5,3.9591114376566764e-08,2.0690818735460157e-08,4.0299893438136374e-08,2.0156368710560547e-08
12,6.0,2.7371667113261373e-08,1.3454676560554441e-08,2.6785659284078492e-08,1.346637158791016e-08
13,6.5,1.8670114030352768e-08,7.726379387481694e-09,1.881263876543639e-08,7.462516193525464e-09
14,7.0,1.365106104682792e-08,3.050216951851719e-09,1.367671391284989e-08,3.173880988937607e-09
15,7.5,1.082972390260322e-08,1.0527094904518734e-09,1.1278245283768305e-08,1.147628228893122e-09
16,8.0,1.0488935433955051e-08,4.748886330477351e-10,1.134931049555003e-08,5.279995397736443e-10
17,8.5,1.4497019522518748e-08,3.711042951951386e-10,1.5447923205881793e-08,3.70955227682242e-10
18,9.0,3.343373008228219e-08,3.102154147139998e-10,3.5019025991890724e-08,3.109184921438995e-10
19,9.5,1.2251707499538557e-07,2.7889009112429065e-10,1.2466421354148404e-07,2.760511513629949e-10
20,10.0,2.0584286322216346e-07,3.0187811467114295e-10,2.061870742310456e-07,2.9947035201512696e-10
21,10.5,5.26540682186861e-08,2.6911001976976586e-10,5.291283068559594e-08,2.7584393129266666e-10
22,11.0,2.6992268671017807e-09,2.234991588610151e-10,2.6901969820722908e-09,2.274802035839377e-10
23,11.5,1.6118679696541687e-10,1.8718255446937848e-10,1.7306365762576465e-10,1.8251614419230458e-10
24,12.0,2.124117720052848e-11,1.4464772942841994e-10,2.866670501207771e-11,1.4022318212390827e-10
25,12.5,8.877907393499814e-12,1.0533867847717536e-10,1.2475253685022393e-11,1.0385700819769537e-10
26,13.0,6.294896079888902e-12,7.034332285516915e-11,9.81699922429966e-12,7.410805251232895e-11
27,13.5,5.261483573844885e-12,5.783555302754456e-11,7.975763991332739e-12,6.12845204526046e-11
28,14.0,4.368659438105582e-12,4.759479586131357e-11,7.086092470726902e-12,4.921819131499159e-11
29,14.5,3.665420077361013e-12,3.790064563234316e-11,5.665978464906493e-12,3.950233236146303e-11
30,15.0,3.1396937802218047e-12,3.2592407378150426e-11,5.354367217681298e-12,3.2525562794724146e-11
31,15.5,2.720602634724799e-12,2.883905116169487e-11,4.756737401728831e-12,2.892215962487165e-11
32,16.0,2.3702258769616375e-12,2.584465588419694e-11,4.191162102738104e-12,2.620836985969609e-11
33,16.5,2.1011467404632634e-12,2.3861015797590536e-11,3.922884024541033e-12,2.3356644112799782e-11
34,17.0,1.8615694734286798e-12,2.0618860589304374e-11,3.595504454539455e-12,2.0454619318513913e-11
