,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.1515960757334443e-10,7.937535250265318e-09,1.0516453540363087e-10,7.404177449859101e-09
1,0.5,9.979946507682936e-11,5.2554640123515715e-08,1.107925460380798e-10,5.213020061922131e-08
2,1.0,6.3774498950278775e-12,2.165430444775261e-08,4.1717553168834085e-11,2.1880908915242637e-08
3,1.5,1.2689898710546701e-11,9.651102790577466e-09,5.606400687169448e-11,9.411939919671702e-09
4,2.0,9.273508764075188e-11,5.737176565107721e-09,1.5964971777716025e-10,5.6685151508345494e-09
5,2.5,7.87092555608606e-10,4.196195992820655e-09,8.865540521992077e-10,4.181517746481005e-09
6,3.0,4.00868447668916e-09,4.077005322539307e-09,4.193960037524775e-09,4.1358362811999645e-09
7,3.5,1.260176674498219e-08,4.476310034558009e-09,1.2595916136783008e-08,4.6370587448774526e-09
8,4.0,2.5866629205687393e-08,6.0342370035289815e-09,2.5265341495436957e-08,6.075263677394795e-09
9,4.5,3.14186591431183e-08,9.530227582543228e-09,3.1610869872147215e-08,9.546305098685322e-09
10,5.0,2.2758772976958658e-08,1.399394776792796e-08,2.2710721252405298e-08,1.3561825325695126e-08
11,5.5,1.3729934767424491e-08,1.5657241181578883e-08,1.4076421663267707e-08,1.534610775780568e-08
12,6.0,8.54660334730185e-09,1.11475956764901e-08,8.789432779059096e-09,1.1137876373934297e-08
13,6.5,5.5048891218885354e-09,5.543622586532385e-09,5.681987999550535e-09,5.480668912684834e-09
14,7.0,4.334865898914683e-09,2.158982430725417e-09,4.407232884738753e-09,2.165974692899209e-09
15,7.5,3.9608046605920705e-09,6.152250136487977e-10,3.906436993194717e-09,6.583933086684712e-10
16,8.0,4.993989477849026e-09,2.466967699071943e-10,5.192386562091617e-09,2.5779040636232303e-10
17,8.5,8.634541872319829e-09,1.7761323750082115e-10,8.793060352659242e-09,1.8649510802343126e-10
18,9.0,2.4669781759917814e-08,1.7312952204523876e-10,2.5417119753447913e-08,1.7072608713529755e-10
19,9.5,1.4596341033232192e-07,1.7076927087926738e-10,1.477376714057823e-07,1.661655262009757e-10
20,10.0,3.861136861904508e-07,1.8499604089018727e-10,3.887914437384451e-07,1.8119418610317116e-10
