,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.1950720644532205e-10,1.0547655317679012e-08,1.7048108642254113e-10,1.1064413599242693e-08
1,0.5,1.0176846185532128e-10,7.967368930969911e-08,1.6160494948271487e-10,7.923532532990243e-08
2,1.0,6.702237343802277e-12,4.323291062679205e-08,5.1467001849614344e-11,4.577190690611957e-08
3,1.5,1.7884447740828274e-11,3.109168503600124e-08,7.276045571524302e-11,3.163533796428309e-08
4,2.0,1.8366238280103243e-10,2.03588761509278e-08,2.6171622810411673e-10,2.1072149912032743e-08
5,2.5,1.6274382225813408e-09,1.4680838248257865e-08,1.7897530179370167e-09,1.5067448952261653e-08
6,3.0,1.081017344961586e-08,1.2699652253057672e-08,1.0956467816857854e-08,1.2903007096405743e-08
7,3.5,3.5328339555471875e-08,1.2177769801851718e-08,3.623511294151858e-08,1.1993618070996236e-08
8,4.0,5.910065996636137e-08,1.3034471200596125e-08,6.092645810696221e-08,1.3361504427538768e-08
9,4.5,7.838149798402849e-08,1.542281320006639e-08,8.185983791183593e-08,1.546229511770436e-08
10,5.0,7.033538455213041e-08,1.7477408063481645e-08,7.181304657355435e-08,1.700560231883576e-08
11,5.5,4.9724366708466285e-08,1.7795125267392676e-08,5.152031152080409e-08,1.80922567453819e-08
12,6.0,2.7845096938921225e-08,1.3491446751451458e-08,2.899434082328349e-08,1.3502928133424738e-08
13,6.5,2.229143219794385e-08,7.895794486689525e-09,2.256054899064167e-08,7.778982708679193e-09
14,7.0,1.8308784018708535e-08,3.1495708736605793e-09,1.9129272224692122e-08,3.1323884263714726e-09
15,7.5,1.3696812870778512e-08,9.879816580687217e-10,1.4704588078789345e-08,1.0205695284529184e-09
16,8.0,1.6592464651173972e-08,5.502365208867992e-10,1.6948881595328197e-08,5.70934430359242e-10
17,8.5,2.6556781641074216e-08,4.12741392782697e-10,2.6750100051380188e-08,4.233739984563768e-10
18,9.0,3.2819007984003485e-08,2.9037175529088593e-10,3.414130135100673e-08,3.1822288140864776e-10
19,9.5,1.0653290895871657e-07,2.897096156742535e-10,1.0875399644841173e-07,2.921266774519145e-10
20,10.0,1.898673429989666e-07,2.769557474210808e-10,1.8838510054111625e-07,2.8166557329435146e-10
21,10.5,4.836868528985712e-08,2.3842262288979174e-10,4.768422059657719e-08,2.4301215288740104e-10
22,11.0,2.3549956313455445e-09,2.2761573202925138e-10,2.4636599505363767e-09,2.2523337649305987e-10
