,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.9523779705773967e-10,1.1855126597038488e-08,1.7105489494552918e-10,1.2907775528647298e-08
1,0.5,1.6785143097789357e-10,8.517405538964226e-08,1.5134270085359417e-10,8.443458592847406e-08
2,1.0,1.0994026178142145e-11,4.806802132277916e-08,1.5596758761859277e-11,4.778029805287023e-08
3,1.5,2.47946420705995e-11,2.5046843332280105e-08,3.3334022551630076e-11,2.55516744409519e-08
4,2.0,2.266770703864321e-10,1.7224355809780233e-08,2.4383743227092117e-10,1.7769260351319503e-08
5,2.5,1.999968750545722e-09,1.2304872336943037e-08,2.009073153236843e-09,1.2646328363858969e-08
6,3.0,1.0176908008838095e-08,1.214996906493548e-08,1.0076933847303983e-08,1.2156240765485163e-08
7,3.5,3.173924418712684e-08,1.3329213506714859e-08,3.207644412705548e-08,1.2520720486684593e-08
8,4.0,6.518596479799477e-08,1.3103223326963626e-08,6.416621380162269e-08,1.2808114731057915e-08
9,4.5,8.23638534552425e-08,1.7626281353266246e-08,8.324101614101378e-08,1.7142148940926893e-08
10,5.0,6.911947111268512e-08,2.1985188004872946e-08,6.720628596229775e-08,2.158765489947422e-08
11,5.5,4.489569070194499e-08,2.241750734657436e-08,4.5626640122159866e-08,2.251289207287015e-08
12,6.0,2.3835046304460556e-08,1.530642626692573e-08,2.3411565873451923e-08,1.509434332645189e-08
13,6.5,1.891673595562677e-08,7.60153456746918e-09,1.8822729695894432e-08,7.602649604877991e-09
14,7.0,1.7528721473413796e-08,3.0610648474981683e-09,1.8841083474303798e-08,3.064279419559972e-09
15,7.5,1.4605529775843923e-08,1.0702107759724416e-09,1.4966510460043645e-08,1.0440480831809566e-09
16,8.0,1.3817356288960585e-08,5.206389101882165e-10,1.4211000536462475e-08,4.975346877081765e-10
17,8.5,1.9392202531170732e-08,3.637854183816917e-10,1.9380698905626286e-08,3.750379738901842e-10
18,9.0,3.543487409426422e-08,3.417580406369236e-10,3.592504304417462e-08,3.3629919502806164e-10
19,9.5,1.341219205021818e-07,3.745453490220993e-10,1.3374542891245203e-07,3.5509602451752284e-10
20,10.0,2.3614857218203626e-07,3.779582329739529e-10,2.3331639843588544e-07,3.4360128334927177e-10
21,10.5,5.9019411409129906e-08,3.015477548036238e-10,5.854136887588649e-08,2.939333832493574e-10
22,11.0,3.0026818457144997e-09,2.7743255667964354e-10,3.0246987025235317e-09,2.7409572013273806e-10
23,11.5,2.1849222990363997e-10,2.1757277119407193e-10,2.2123530963982036e-10,2.165395976336111e-10
24,12.0,2.7150362359424882e-11,1.5403171621195019e-10,3.0280604632914994e-11,1.5629637411026559e-10
25,12.5,1.0951518457221695e-11,1.0978472627578139e-10,1.300019360944509e-11,1.1144842498701513e-10
26,13.0,7.719391319730813e-12,8.162084780940008e-11,9.364222053733213e-12,8.018288153143715e-11
27,13.5,6.172695848794066e-12,6.347393871134261e-11,7.590534066829228e-12,5.85310276286858e-11
28,14.0,5.239388592342512e-12,4.7797612403413087e-11,6.1983090922539035e-12,4.737199568546969e-11
29,14.5,4.3818412791427396e-12,4.204967072454732e-11,5.292606559207869e-12,4.245228453761503e-11
30,15.0,3.7559260300981426e-12,4.2373444827622426e-11,4.616862866628339e-12,4.0162302090211747e-11
31,15.5,3.2516188171542835e-12,3.511393300239856e-11,3.963663254141579e-12,3.431921457748098e-11
32,16.0,2.8467463849692915e-12,3.071870642381388e-11,3.450384964788206e-12,3.006953849409034e-11
33,16.5,2.5202283200782122e-12,2.924156981883152e-11,3.10893375024913e-12,2.7863009479884428e-11
34,17.0,2.2460387359034934e-12,2.5295246906263362e-11,2.8110926847759273e-12,2.473925936981658e-11
35,17.5,2.015813902390505e-12,2.0949733135926115e-11,2.5247544712679803e-12,2.0445179914377288e-11
36,18.0,1.823151039538275e-12,1.7168183804842372e-11,2.282268392522402e-12,1.7046947186516023e-11
37,18.5,1.650609921376234e-12,1.3868938325370976e-11,2.0796389050018836e-12,1.3933171651925146e-11
