,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,3.454498373944223e-11,1.8161909605689088e-09,1.8844220171647353e-11,1.8310363737887935e-09
1,0.5,2.975135608775015e-11,8.923624056528451e-09,2.0888537917396566e-11,9.096886344263405e-09
2,1.0,1.896257698125362e-12,5.50643457566075e-09,6.634294137116882e-12,5.279470426260256e-09
3,1.5,2.2754691572233298e-12,2.1753010586741547e-09,9.263217651646975e-12,2.1185224432155707e-09
4,2.0,9.958236424205559e-12,8.382883075952521e-10,2.1753322906100174e-11,8.494586224576385e-10
5,2.5,9.334633767848467e-11,3.818279229325098e-10,1.1357004710537593e-10,3.950197926936916e-10
6,3.0,6.731336517559692e-10,2.8386151057290565e-10,6.938502542861537e-10,3.058675542360214e-10
7,3.5,2.785766559966141e-09,4.725943610461442e-10,2.73245422452341e-09,4.848148991228044e-10
8,4.0,6.253426436459077e-09,9.789642627407453e-10,6.0802998468392495e-09,9.990506948307006e-10
9,4.5,8.562653283526285e-09,1.884882864165492e-09,8.364984613245164e-09,1.9144686983287596e-09
10,5.0,7.610891154073862e-09,3.121297315349727e-09,7.4503631652054306e-09,3.058032331011287e-09
11,5.5,4.338096085468352e-09,3.639472047354825e-09,4.314028576882606e-09,3.54132432318425e-09
12,6.0,2.0992539312192333e-09,2.658664022182517e-09,2.1058754777483915e-09,2.6244479913838205e-09
13,6.5,8.965807047454215e-10,1.1711583855851726e-09,9.45160963094847e-10,1.1457114464885257e-09
14,7.0,3.6163355422426856e-10,3.3566248387046617e-10,4.1666337629153523e-10,3.613224675525781e-10
15,7.5,1.918796869680706e-10,5.8096943646770483e-11,2.1944329160205233e-10,7.318879354060608e-11
16,8.0,1.0549487520549349e-10,1.6602000555668183e-11,1.3905994144710507e-10,2.458603838588201e-11
17,8.5,1.0929304918267448e-10,1.4370475449703053e-11,1.4726980541252162e-10,1.7912709759290542e-11
18,9.0,6.071217171238935e-10,1.8955194604658016e-11,6.71141291894638e-10,2.0104229256013652e-11
19,9.5,1.8969875223101434e-08,3.00452712732743e-11,1.9341947986737127e-08,2.9762249742320285e-11
20,10.0,6.98888042055088e-08,4.2136787783947355e-11,7.020272505600735e-08,3.886040351300543e-11
21,10.5,1.4666990495884371e-08,4.314141949992719e-11,1.4561072793905008e-08,4.118939154053968e-11
22,11.0,1.6338532037677558e-10,4.5047140928505894e-11,1.7677831688109993e-10,4.449394134441349e-11
23,11.5,2.119465541868684e-12,3.613922057997686e-11,6.370570136477071e-12,3.426811933261634e-11
24,12.0,1.1963400704260377e-12,2.3563828898053053e-11,2.9976358958674887e-12,2.2764622347964087e-11
25,12.5,1.0621867549687325e-12,1.2688433684845493e-11,1.9193751777992918e-12,1.2501436063767811e-11
26,13.0,8.915570767405759e-13,6.018138811495758e-12,1.240930662213364e-12,6.4144140064485625e-12
27,13.5,7.330363599864539e-13,3.6391806388322445e-12,9.956801661026369e-13,3.994603716261751e-12
28,14.0,6.096927265484219e-13,3.263190091955182e-12,7.991581465165469e-13,3.249434077094775e-12
29,14.5,5.074209255547619e-13,3.2027936448514393e-12,6.830014605755324e-13,3.208624037588804e-12
30,15.0,4.313013374804341e-13,3.595628586039579e-12,5.375643451504608e-13,3.6237108707229122e-12
