,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,3.276121527730105e-11,2.1157141395872672e-09,3.1534213472570645e-11,1.7389244875903114e-09
1,0.5,2.829821267083739e-11,1.5278557165675093e-08,5.965191133448816e-11,1.544735237321173e-08
2,1.0,1.9088938935296614e-12,5.626482612363881e-09,5.424724844227498e-11,5.862227629419505e-09
3,1.5,4.281434891514511e-12,2.768814355648042e-09,6.99242289374174e-11,2.6699031973499257e-09
4,2.0,3.853989048315124e-11,1.5489060451028389e-09,1.3538002142159013e-10,1.5341083839012144e-09
5,2.5,2.777387239353618e-10,1.0791879974639356e-09,4.130827099924503e-10,1.1377489737048304e-09
6,3.0,1.5253104288430999e-09,9.591661522977559e-10,1.6051136999765778e-09,1.0831952350791543e-09
7,3.5,5.2137193074824205e-09,1.2825947281177892e-09,4.7501925893889524e-09,1.3566528611089022e-09
8,4.0,9.36263327631007e-09,2.225084486277402e-09,8.682267567976064e-09,2.209413827683537e-09
9,4.5,1.126273886769968e-08,3.5418627417722616e-09,1.0846123236611483e-08,3.4781733101008017e-09
10,5.0,9.645522378638303e-09,5.082720588094704e-09,9.493609191629344e-09,4.656744068260806e-09
11,5.5,6.383817027533394e-09,5.489321743811071e-09,6.152369032564036e-09,5.1514395573808065e-09
12,6.0,3.3700779709613736e-09,4.38188267219548e-09,3.3247785751439097e-09,4.239617556111795e-09
13,6.5,1.7803620541281053e-09,2.1865083970661856e-09,1.8572546573115315e-09,2.0768831703719002e-09
14,7.0,9.642268753341732e-10,7.344550004857924e-10,1.0856215747178771e-09,7.66122522955974e-10
15,7.5,7.570034775728284e-10,2.0197154023563805e-10,8.730892360548415e-10,2.720091389609229e-10
16,8.0,8.135024998314056e-10,7.327123294175031e-11,9.769801663548702e-10,1.006543068536603e-10
17,8.5,1.3998868705943947e-09,4.0681056739216195e-11,1.5319837676484855e-09,5.907610154429564e-11
18,9.0,4.574701559152434e-09,4.478790113267584e-11,5.175168352503172e-09,5.010642001443656e-11
19,9.5,5.0162607240639044e-08,5.872166165713784e-11,5.107407659669485e-08,5.7178645878989516e-11
20,10.0,1.5774211283134544e-07,6.492255034209156e-11,1.6118964500989325e-07,6.094291433922987e-11
21,10.5,3.655270256215121e-08,5.882154701837029e-11,3.716514338649529e-08,5.346792585479973e-11
22,11.0,8.531537037040224e-10,5.1688558173584083e-11,8.973506538363673e-10,4.5961661541476653e-11
23,11.5,2.342192295625538e-11,4.7904841498377276e-11,3.407226510820328e-11,4.3089899292651024e-11
24,12.0,3.813472005065643e-12,3.5954440784590194e-11,9.823840936141673e-12,3.315678450800397e-11
25,12.5,2.943486363107101e-12,2.4633433735134944e-11,7.544695195745498e-12,2.3194189100118957e-11
26,13.0,2.3884135271650337e-12,1.5104524432185946e-11,6.5458367367952846e-12,1.4509733035551681e-11
27,13.5,1.9616769726650303e-12,9.726956609616887e-12,6.307497427799062e-12,1.029024095933018e-11
28,14.0,1.6227753638346059e-12,7.332414667600783e-12,5.613495528876384e-12,8.545816027249317e-12
29,14.5,1.3708421977865163e-12,7.055745491484765e-12,5.379186040169542e-12,7.3591877804864e-12
30,15.0,1.1596322122383054e-12,6.6771919379148614e-12,4.420128503574266e-12,6.422178633822674e-12
31,15.5,9.988089642276538e-13,6.192059458270866e-12,4.305627914194878e-12,6.252836789417796e-12
32,16.0,8.659199160635985e-13,5.654705810312225e-12,3.8774344069332705e-12,5.253022382662103e-12
33,16.5,7.621040822740744e-13,4.866422660924428e-12,3.5609443251083643e-12,4.512399410553233e-12
34,17.0,6.739052475073897e-13,4.104926074765108e-12,3.200198314904841e-12,3.733636863619394e-12
35,17.5,6.019137139217523e-13,3.7431787070556045e-12,3.0524345852212882e-12,3.5882708554739312e-12
36,18.0,5.399237995460117e-13,3.0831035139948326e-12,2.7053785400421485e-12,2.809298144802189e-12
37,18.5,4.899210147310104e-13,2.2964958575999636e-12,2.6854671887003973e-12,2.3792031091727645e-12
38,19.0,4.4242356264506325e-13,1.922384262916428e-12,2.450898389242804e-12,1.9550194327937417e-12
39,19.5,4.151677730546129e-13,1.730413521420278e-12,2.6284978923199777e-12,1.7914875639930078e-12
40,20.0,3.893047893326955e-13,1.677507820722736e-12,2.4729734362977617e-12,1.7972662680494046e-12
41,20.5,3.471133029355485e-13,1.5456887363091555e-12,2.2137637648160623e-12,1.638110109557955e-12
42,21.0,3.1774952015289565e-13,1.3949749027127593e-12,1.9645867683509324e-12,1.421050048029658e-12
43,21.5,2.9465156558674093e-13,1.2688474838536804e-12,2.176608042376221e-12,1.360710572916334e-12
44,22.0,2.746156273436391e-13,1.1203689573092476e-12,2.073543815910827e-12,1.1868948019770157e-12
45,22.5,2.561990294111002e-13,8.978719514997363e-13,1.897977576590988e-12,9.33893170022597e-13
46,23.0,2.3988170634803444e-13,8.456062002329221e-13,1.7558761584826572e-12,9.316606018383782e-13
47,23.5,2.2516013107223124e-13,7.323506982442392e-13,1.8157272966237868e-12,8.177652772037568e-13
48,24.0,2.117650295799375e-13,6.518588386065045e-13,1.6775156187612453e-12,6.274061275543266e-13
49,24.5,1.9964463364660173e-13,5.275908598580174e-13,1.5211629024631706e-12,5.600838878342023e-13
50,25.0,1.8856117222003173e-13,5.25802969842168e-13,1.5140412470173899e-12,5.580481542716618e-13
51,25.5,1.784277359492722e-13,5.519725085754765e-13,1.4587591834005346e-12,5.889147604342313e-13
52,26.0,1.691285881187193e-13,5.109633655439061e-13,1.2106423835384949e-12,6.150537398357603e-13
53,26.5,1.6057793472849203e-13,4.572065729868847e-13,1.0893802859182549e-12,5.282901970890561e-13
54,27.0,1.5268873856028442e-13,4.341863927423447e-13,1.094727851724442e-12,4.926363226835053e-13
55,27.5,1.4539856199017272e-13,3.5112535723751136e-13,1.0626707813519854e-12,4.0848134915892207e-13
56,28.0,1.3863999716979472e-13,3.334893920923785e-13,1.0781729408248576e-12,3.822063349820022e-13
57,28.5,1.3236629054508715e-13,2.9945703948168607e-13,9.810484391006707e-13,3.812368225969227e-13
58,29.0,1.2654184774666925e-13,2.604777202885246e-13,9.736249173120782e-13,3.648452872015052e-13
