,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,2.494397447975674e-10,7.852513410790615e-09,2.608961282299646e-10,7.827045735929656e-09
1,0.5,2.1485390121122872e-10,3.2464903080055505e-08,2.4838720050860337e-10,3.2066985404515953e-08
2,1.0,1.3396679706491658e-11,1.238646269376545e-08,4.798236121727884e-11,1.2677040170311265e-08
3,1.5,1.7794411853268384e-11,5.74724179129894e-09,6.051908215878602e-11,5.8528989391424e-09
4,2.0,8.50772185146438e-11,3.3783998869454023e-09,1.4066273704938987e-10,3.552310088929374e-09
5,2.5,5.72166239787623e-10,2.5538892123260535e-09,6.381089212369868e-10,2.5884249169853345e-09
6,3.0,3.1871628650959205e-09,2.4279823251339835e-09,3.3915219086958227e-09,2.485752034511709e-09
7,3.5,9.506875585040044e-09,3.1330218994161037e-09,9.160197823899054e-09,3.3932832782266565e-09
8,4.0,1.834133952567539e-08,4.944822430076665e-09,1.829855361903765e-08,4.9721772444534265e-09
9,4.5,2.4132656129447702e-08,7.304483140688867e-09,2.3856007143176412e-08,7.3198268804267906e-09
10,5.0,1.933575293364898e-08,1.0186577703425074e-08,1.9831815249313877e-08,1.0179166942738629e-08
11,5.5,1.195830752764047e-08,1.0347802844722275e-08,1.2170324163665152e-08,1.019189264650479e-08
12,6.0,6.559874441970708e-09,7.142837925494956e-09,6.653036901801421e-09,6.890484365962258e-09
13,6.5,3.691464210716882e-09,3.66472023107458e-09,3.928326510412978e-09,3.703348930297859e-09
14,7.0,2.3479608771312582e-09,1.4852243358773505e-09,2.5314971029350325e-09,1.5402247403501949e-09
15,7.5,2.0249071312739822e-09,4.004718700088621e-10,2.2228648458731337e-09,4.4321166209456257e-10
16,8.0,2.718860942861263e-09,1.5934059916200625e-10,3.0024364684704405e-09,1.745347179678851e-10
17,8.5,4.488872587145015e-09,1.1209828678639645e-10,5.1448751058756366e-09,1.2610897045816126e-10
18,9.0,1.5290320639593734e-08,1.1762116086515177e-10,1.6355914952784895e-08,1.1961586510795018e-10
19,9.5,9.089954771029409e-08,1.5875932273592353e-10,9.174706452121103e-08,1.6773325951726186e-10
20,10.0,2.1430253219184876e-07,2.418929332614227e-10,2.15729754818192e-07,2.0727024606863926e-10
21,10.5,4.5628227083488146e-08,1.5268712122771205e-10,4.5445950360789355e-08,1.3217019857468256e-10
22,11.0,1.0206813876547678e-09,1.0103868269651589e-10,1.0517235347575793e-09,9.899646026877803e-11
23,11.5,5.012756668219609e-11,8.964283138534975e-11,6.01680594416507e-11,8.57203922061989e-11
24,12.0,1.1501773913974495e-11,6.975664525374941e-11,1.779534187219508e-11,7.0228778671515e-11
25,12.5,5.960558721835983e-12,4.364822564014475e-11,8.501867874885508e-12,4.493773174963827e-11
26,13.0,4.83100673493851e-12,2.609516059239629e-11,6.522109867801017e-12,2.708621563128537e-11
27,13.5,3.982353879554777e-12,1.9907895369132882e-11,5.614221972408234e-12,2.0962360563649862e-11
28,14.0,3.392287492562529e-12,1.6258549252075498e-11,4.812940187727632e-12,1.7830448231766296e-11
