,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,2.0709779694505965e-10,1.4063604765187905e-08,2.3005408863172066e-10,1.3514182833705677e-08
1,0.5,1.7951957533253494e-10,9.2899202419477e-08,3.435335919231568e-10,9.511322337189606e-08
2,1.0,1.1876017112301113e-11,4.795134658777942e-08,2.516441036846813e-10,4.862961382354751e-08
3,1.5,2.4684225628371334e-11,2.295583827218569e-08,3.3379397757801247e-10,2.449924817633531e-08
4,2.0,2.234150440142265e-10,1.4320647200520516e-08,6.930855416045876e-10,1.5300897070541016e-08
5,2.5,1.8190203649805657e-09,1.01596587597583e-08,2.5077454347007535e-09,1.1344555430189878e-08
6,3.0,9.570864633355807e-09,9.059873901133596e-09,9.823030447837032e-09,9.705738406336106e-09
7,3.5,2.8590615210282097e-08,9.991348752957193e-09,2.7326849398910744e-08,1.021719276979069e-08
8,4.0,5.505975055941887e-08,1.1406034917409195e-08,5.4306034876043774e-08,1.1839252810060065e-08
9,4.5,8.274692503930781e-08,1.541845969283318e-08,8.016857674070897e-08,1.5480712175165135e-08
10,5.0,7.393879543403052e-08,1.9357970126148743e-08,7.974391982313133e-08,1.9106300152859264e-08
11,5.5,5.0174892152311264e-08,2.125365717509216e-08,5.1909260389015527e-08,1.965064907975096e-08
12,6.0,2.5308511786180246e-08,1.4845578205706337e-08,2.588772260137481e-08,1.385513355109244e-08
13,6.5,2.8907221980380404e-08,7.135714788583194e-09,2.9527597580027167e-08,6.749836105759212e-09
14,7.0,2.2985985938892443e-08,2.7539709215004867e-09,2.4686858617423556e-08,2.68029640610393e-09
15,7.5,1.0303077827431641e-08,1.0219819417741597e-09,1.1142966307591635e-08,1.1434998929796102e-09
16,8.0,1.0685166233324e-08,4.150498647626646e-10,1.1963651778376588e-08,5.964942847585005e-10
17,8.5,1.7918894695017664e-08,3.0287963970223953e-10,1.8709168697640786e-08,3.9392824491999896e-10
18,9.0,3.274796940747993e-08,2.9084474013221507e-10,3.480011340895124e-08,3.042764907868011e-10
19,9.5,1.3041414652843915e-07,2.9546092976792134e-10,1.3599735137978686e-07,2.954369373385909e-10
20,10.0,2.154806164275569e-07,3.2418956067211103e-10,2.1966850986267402e-07,2.915200512195831e-10
21,10.5,5.3701590211332743e-08,2.8308189322113117e-10,5.2848756425967126e-08,2.671286307414158e-10
22,11.0,2.5679309863725503e-09,2.880486206309973e-10,2.5684817378655015e-09,2.6805358808751064e-10
23,11.5,1.5753343349240256e-10,2.0714663553881302e-10,1.8612870992252833e-10,1.9119011756913503e-10
24,12.0,2.218907653443616e-11,1.4607177720210238e-10,4.145825967726894e-11,1.290002861752901e-10
25,12.5,9.681838045754714e-12,9.853425627789062e-11,2.2415156063537078e-11,9.876591682796252e-11
26,13.0,7.068055307825515e-12,7.16801782737778e-11,1.9154523648178515e-11,7.176727901061586e-11
27,13.5,5.7204401013024826e-12,5.3867691373269506e-11,1.6125069880928117e-11,5.265841871962902e-11
28,14.0,4.7321785099445795e-12,4.537213419400211e-11,1.519690117658303e-11,4.2902066130797875e-11
29,14.5,3.974746506454341e-12,3.786944868614854e-11,1.3565826169293326e-11,3.742054755982542e-11
30,15.0,3.418667845036164e-12,3.371569401361915e-11,1.2722528288827355e-11,3.244568829549408e-11
31,15.5,2.9389853791048038e-12,3.133353400033369e-11,1.2452958048808247e-11,3.092509261338499e-11
32,16.0,2.561545014987638e-12,2.9164781427165936e-11,1.2033005300176224e-11,2.787744463951271e-11
33,16.5,2.2615854619533484e-12,2.750395555563282e-11,1.0691166885410612e-11,2.6647697014613892e-11
34,17.0,2.003959785353159e-12,2.3343922272551555e-11,1.0507888888201907e-11,2.336206030475054e-11
35,17.5,1.7966241256077546e-12,1.881807584393213e-11,9.680483913569212e-12,1.7623397578126168e-11
36,18.0,1.6188941807321681e-12,1.4936312794664384e-11,8.868637150193146e-12,1.4405518084418712e-11
37,18.5,1.4721207970559081e-12,1.3265969654414314e-11,8.499421090736962e-12,1.3252497015899573e-11
38,19.0,1.335464572451386e-12,1.1457727987321044e-11,7.955001543488601e-12,1.0819375959997471e-11
39,19.5,1.2282337684447957e-12,9.68166163390341e-12,8.003831162401243e-12,9.444889301103267e-12
40,20.0,1.1538666034029739e-12,8.386175327942864e-12,7.652090315340393e-12,8.413874929411952e-12
41,20.5,1.0441791146710373e-12,7.973577171837537e-12,6.550024091744156e-12,7.96817642447357e-12
42,21.0,9.586123576824814e-13,7.411044798778882e-12,6.570824699708359e-12,7.394875976541478e-12
43,21.5,8.93340095573402e-13,6.7756866870374476e-12,6.042322804124103e-12,6.929268636186021e-12
44,22.0,8.309644343077005e-13,6.057193024369479e-12,6.158872538146934e-12,5.830131479295734e-12
45,22.5,7.771072442471539e-13,5.3014018549016036e-12,5.7659373845230005e-12,5.247734695107775e-12
46,23.0,7.278653781153856e-13,4.796573206645207e-12,5.564917420976432e-12,4.941803659218162e-12
47,23.5,6.837843377550784e-13,4.335870158575835e-12,5.074558786280412e-12,4.173487774167493e-12
48,24.0,6.435677911440924e-13,3.9213364918664255e-12,4.993174185803262e-12,4.409937234501677e-12
49,24.5,6.070438576239053e-13,3.317376479458781e-12,4.376681836086345e-12,3.4437030981630784e-12
50,25.0,5.736884569049016e-13,3.0879851015521394e-12,4.090947286685489e-12,3.2807471617290617e-12
51,25.5,5.431226518353854e-13,2.678133232903396e-12,4.313897108662681e-12,2.647785991823929e-12
52,26.0,5.150581339659414e-13,2.5026719282256786e-12,4.306102455815173e-12,2.6660024130844256e-12
53,26.5,4.892285779627854e-13,2.4814166835844794e-12,3.830994618397428e-12,2.456557486299942e-12
54,27.0,4.653572265161097e-13,2.274537454377458e-12,3.860752300377976e-12,2.1277450418606083e-12
55,27.5,4.433142115178932e-13,2.0967914238793177e-12,3.698917705616526e-12,1.986347068965192e-12
56,28.0,4.2284106197732217e-13,1.94261168243113e-12,3.700024147884583e-12,1.9803639581416586e-12
