,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.9025570240461112e-10,1.341514849483831e-08,2.1670998778433177e-10,1.4096457706449558e-08
1,0.5,1.6378887472737664e-10,9.959031636907177e-08,2.6545527913225434e-10,9.800891368845544e-08
2,1.0,1.0852792022000593e-11,5.108188274035099e-08,1.67869064660151e-10,5.0856655354813336e-08
3,1.5,2.467283106609794e-11,2.793821806249502e-08,2.139021529294255e-10,2.8304276884251037e-08
4,2.0,2.5752022487641366e-10,2.1427864971233436e-08,5.867332645083265e-10,2.2303680611527685e-08
5,2.5,2.3196445931206832e-09,1.6324531813858235e-08,2.7206620788054157e-09,1.6483454958626645e-08
6,3.0,1.1589883163402773e-08,1.4001545546937225e-08,1.2040032768879552e-08,1.4770074399760157e-08
7,3.5,3.4376773394602774e-08,1.215555231738818e-08,3.537740727540775e-08,1.2870090793327886e-08
8,4.0,6.496372964831057e-08,1.4779234316156275e-08,6.38345814953489e-08,1.5191114263691968e-08
9,4.5,9.121713442279968e-08,1.7965134774618938e-08,8.75042315180501e-08,1.731497646090476e-08
10,5.0,8.447407655103798e-08,2.0972667829896675e-08,8.63111143677974e-08,1.9836569930715828e-08
11,5.5,6.521149484021992e-08,2.2110150243603263e-08,6.907027369124472e-08,2.1406957122017658e-08
12,6.0,2.834338107563253e-08,1.5130023815935636e-08,3.080590800196207e-08,1.499034882830269e-08
13,6.5,2.4975870782984736e-08,7.681376198504855e-09,2.6032140841214972e-08,7.688456463595893e-09
14,7.0,2.944496989831044e-08,2.920130676594526e-09,3.00634522235887e-08,3.040856043528584e-09
15,7.5,1.5663666178580423e-08,1.104773072339553e-09,1.6096778924782337e-08,1.205456315393553e-09
16,8.0,1.3581748620834699e-08,4.972237292791098e-10,1.4976737439697722e-08,5.216916428381892e-10
17,8.5,2.438758922878008e-08,4.0462157156169436e-10,2.5854045868046937e-08,4.389895404514127e-10
18,9.0,4.081425864614189e-08,3.4219758490658625e-10,4.2902592065421343e-08,3.510509390200063e-10
19,9.5,1.356280208077285e-07,3.426425190175169e-10,1.4028611068310742e-07,3.2892293626440283e-10
20,10.0,2.529214943279089e-07,3.3751626952832943e-10,2.569893961145463e-07,3.328172877930283e-10
21,10.5,5.982812496713418e-08,3.1165235946320685e-10,5.969576380272474e-08,2.9085821592384466e-10
