,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,2.103974615270044e-10,1.4880314375354065e-08,2.0584697609879998e-10,1.4787425107356261e-08
1,0.5,1.8090170925279502e-10,9.578723774971868e-08,2.5245229417148166e-10,9.666433057371812e-08
2,1.0,1.1969897884944344e-11,6.247797950583809e-08,1.3209514877374328e-10,6.056861195156099e-08
3,1.5,2.4171533379805502e-11,3.6322453319726775e-08,1.811164898294361e-10,3.658625714199815e-08
4,2.0,2.5153754436156475e-10,2.3362604123171996e-08,4.591675405040223e-10,2.2722718589611883e-08
5,2.5,2.3784429654041755e-09,1.589940845686503e-08,2.7202854830481155e-09,1.5563278427503065e-08
6,3.0,1.4686381846317961e-08,1.3593108491231501e-08,1.449604594491196e-08,1.3208141423660569e-08
7,3.5,5.164997497849242e-08,1.3296685094022385e-08,4.901729238309801e-08,1.3406955033106611e-08
8,4.0,9.262531514474593e-08,1.6554330226458063e-08,9.185212380013717e-08,1.6516012938620205e-08
9,4.5,1.1291346261799706e-07,2.240899978163951e-08,1.1151611340894927e-07,2.254070372728212e-08
10,5.0,9.579936585354377e-08,2.5381061636186542e-08,9.382398626672228e-08,2.515406986589869e-08
11,5.5,6.04650323778956e-08,2.618872527904182e-08,6.154769656034227e-08,2.5998370668716522e-08
12,6.0,3.7179003037745677e-08,1.9481504938880428e-08,3.968333991068132e-08,1.854352507105563e-08
13,6.5,2.616405858031417e-08,1.0205747485927212e-08,2.6182396179251527e-08,9.786659624968661e-09
14,7.0,1.775934000622716e-08,3.932383388014357e-09,1.7295667147435148e-08,3.968817266646768e-09
15,7.5,1.1073250182698252e-08,1.2734408706266653e-09,1.1882153391532342e-08,1.3785013172764192e-09
16,8.0,1.1412212409059757e-08,5.597119726400254e-10,1.251808409568457e-08,6.198367118712578e-10
17,8.5,1.7158169287516035e-08,4.6028154027046027e-10,1.8522311429874354e-08,5.083859899088824e-10
18,9.0,3.5271019668077505e-08,4.1883272376890837e-10,3.55185879310596e-08,4.049270514628063e-10
19,9.5,1.2070618230496346e-07,4.4084089412909887e-10,1.2417893803536741e-07,4.334873162932176e-10
20,10.0,2.1119864088557025e-07,4.415931536255845e-10,2.1185484668006744e-07,4.358611517880919e-10
21,10.5,4.8944060742977945e-08,3.720953100265446e-10,4.837145568215243e-08,3.6365110654643136e-10
22,11.0,2.44559580766345e-09,3.407033952534542e-10,2.4781058458336316e-09,3.315443605187055e-10
23,11.5,1.624171940069502e-10,2.7101691953224745e-10,1.8534509353297934e-10,2.6022507398971585e-10
24,12.0,2.0852411597120698e-11,2.0594512346898083e-10,3.204987224866612e-11,2.0881491659523792e-10
25,12.5,9.418593589552459e-12,1.5250978147139914e-10,1.7775792737991914e-11,1.533828711131366e-10
26,13.0,6.919439276563342e-12,1.0741753655128184e-10,1.1891383395794172e-11,1.0274785249591005e-10
27,13.5,5.5929065889592345e-12,7.097682095313152e-11,9.833955262098454e-12,7.327302068011066e-11
28,14.0,4.723714445667922e-12,5.958293641844268e-11,9.475887662854051e-12,5.900398531482159e-11
29,14.5,4.004426652762989e-12,5.586750346061896e-11,8.024960744923571e-12,5.585415790113627e-11
30,15.0,3.4442959355249704e-12,5.007614977329593e-11,6.924159553398396e-12,5.1621522706592955e-11
31,15.5,3.0011043745748953e-12,4.727962833577708e-11,6.659363974031769e-12,4.6265362063721397e-11
32,16.0,2.641668029984215e-12,4.070278470323046e-11,6.080179701609178e-12,4.060405355146922e-11
33,16.5,2.3478598041008565e-12,3.58040661569301e-11,4.852286491308521e-12,3.3400925420913834e-11
34,17.0,2.0985821114141075e-12,3.038773042465219e-11,5.522278148746765e-12,2.9052442082657212e-11
35,17.5,1.8951434145400377e-12,2.6846521347184287e-11,4.750869205119454e-12,2.6272913994647827e-11
36,18.0,1.7165444485887194e-12,2.2012040180759167e-11,4.162269512716925e-12,2.307101844917885e-11
37,18.5,1.5681448192296226e-12,1.8082661331751685e-11,4.0937254915048995e-12,1.9249136572302333e-11
38,19.0,1.4385173968862942e-12,1.4515878801990427e-11,3.819608557057875e-12,1.4823449730593893e-11
39,19.5,1.331088523939478e-12,1.302411837135556e-11,3.683563337106225e-12,1.3350494701622464e-11
40,20.0,1.2586618993153963e-12,1.2525695666899931e-11,3.69281127460688e-12,1.231399462204235e-11
41,20.5,1.151301152549472e-12,1.0987978329939045e-11,3.100887735199415e-12,1.100942350922898e-11
42,21.0,1.0541967009945518e-12,9.553116142546504e-12,3.2145792664583135e-12,1.0110664096342186e-11
43,21.5,9.853871465656066e-13,9.310441803646926e-12,3.1406459092008568e-12,9.150909838353367e-12
44,22.0,9.218879823577353e-13,8.454943605989112e-12,2.4221632095314742e-12,8.39855562816256e-12
45,22.5,8.652508322936145e-13,7.726063975921005e-12,2.7471917250322583e-12,7.928388504427123e-12
46,23.0,8.141073197805997e-13,6.385497203145206e-12,2.7755028881646135e-12,6.743043835059017e-12
47,23.5,7.674051514937243e-13,5.656312105039931e-12,2.318241909072552e-12,5.915983766720644e-12
48,24.0,7.249639191112191e-13,5.127941746381325e-12,2.16572669912158e-12,5.3839136709173515e-12
49,24.5,6.860942454005782e-13,4.5881481747828176e-12,2.3582947882478423e-12,4.765871542096757e-12
50,25.0,6.505030879590165e-13,3.82331452488145e-12,2.1525186994706475e-12,4.152957376488039e-12
51,25.5,6.176981921944384e-13,3.5293649438221582e-12,2.04553478186186e-12,3.746036646558717e-12
52,26.0,5.875109275786546e-13,3.6178980585645847e-12,1.886512360823235e-12,3.613225815267557e-12
53,26.5,5.595745989940623e-13,3.4250947402128473e-12,1.8647145569594476e-12,3.5298793728135003e-12
54,27.0,5.336622084409639e-13,2.9883986953913322e-12,1.9348469029242646e-12,2.9582108605608292e-12
55,27.5,5.096687474210172e-13,2.9024532932468255e-12,1.737718349745028e-12,2.902457407935293e-12
56,28.0,4.872745550625123e-13,2.557418012878396e-12,1.6038099047546628e-12,2.8160668571220295e-12
57,28.5,4.664639158076243e-13,2.2050787794204954e-12,1.6224838467083928e-12,2.463806471488285e-12
58,29.0,4.4693182132619837e-13,2.004813968371218e-12,1.5430016080895654e-12,2.1730949752707813e-12
59,29.5,4.287566225121982e-13,1.9763016995987263e-12,1.5270851918061439e-12,2.1147131069334907e-12
60,30.0,4.1167031441722137e-13,1.6842775582892625e-12,1.5558874428876078e-12,1.9046221855289333e-12
61,30.5,3.956358515181857e-13,1.7359133384222102e-12,1.3746460866989499e-12,1.7217547046023171e-12
62,31.0,3.8057403520139414e-13,1.4555049597226066e-12,1.3738726205826624e-12,1.5980097969982115e-12
63,31.5,3.6637474779002316e-13,1.322546331575274e-12,1.2832085366200124e-12,1.4799863024995317e-12
64,32.0,3.530116035352245e-13,1.3967290395934315e-12,1.361256860459913e-12,1.5814933228876209e-12
65,32.5,3.4038578965419225e-13,1.398706351922883e-12,1.1977936532100309e-12,1.4724548659358656e-12
66,33.0,3.2845852456752454e-13,1.165582907507879e-12,1.1787376064193635e-12,1.2574080313835978e-12
67,33.5,3.1716986462153765e-13,1.081858467903189e-12,1.1279006893714683e-12,1.1856419299285383e-12
68,34.0,3.0647983096757606e-13,1.0472888267123238e-12,1.1900155974060352e-12,1.1020959220310472e-12
69,34.5,2.963394598967065e-13,9.065299488800091e-13,1.099603159869332e-12,1.1189310355173104e-12
70,35.0,2.8671782765999603e-13,8.465083664370831e-13,1.0431399513474699e-12,9.34214421714839e-13
71,35.5,2.775732674566879e-13,8.044440144363313e-13,1.0166188958745976e-12,9.760288778510767e-13
72,36.0,2.6887614278761025e-13,7.714020590562016e-13,1.0221916925454623e-12,8.828441591773722e-13
73,36.5,2.605962370677384e-13,7.505897209078432e-13,9.727329783748375e-13,7.940931893981422e-13
74,37.0,2.527076736577023e-13,6.709441460707025e-13,9.1630665065751e-13,8.238306186089581e-13
75,37.5,2.4518418547974365e-13,6.783004416915014e-13,9.6561998421773e-13,8.014498879757761e-13
76,38.0,2.3800508391908333e-13,6.343776753964934e-13,8.989235680425107e-13,7.436478869942882e-13
