,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.6287645569790083e-10,1.556817225705703e-08,2.3624320001488495e-10,1.2137271077916294e-08
1,0.5,1.3918189879417712e-10,9.894949233317164e-08,4.444409004359579e-10,1.0223729935412018e-07
2,1.0,9.237665789046198e-12,5.483259055390026e-08,3.442531154009686e-10,5.324183155355976e-08
3,1.5,2.248105798255008e-11,3.669747380867385e-08,4.517488276272498e-10,3.6061048236165395e-08
4,2.0,2.2163365756590975e-10,2.4028269891175297e-08,8.192540498471124e-10,2.4657949934725658e-08
5,2.5,1.9834955838916194e-09,1.6046988229997325e-08,2.877057272323753e-09,1.6174162267109827e-08
6,3.0,1.1216229621118721e-08,1.398452107051928e-08,1.360213221070926e-08,1.3960928874193888e-08
7,3.5,3.578075099806919e-08,1.3134145441003664e-08,3.4066361480694455e-08,1.2986736832648833e-08
8,4.0,7.154785124211155e-08,1.327952255761331e-08,6.395501438923438e-08,1.3567607102844042e-08
9,4.5,9.695853811492378e-08,1.6606793568581187e-08,9.082172291319635e-08,1.7591195597093186e-08
10,5.0,6.793774202797639e-08,2.1057882661662137e-08,7.447822678274651e-08,1.9885295496881326e-08
11,5.5,5.350418306803536e-08,2.315298748707976e-08,5.855193409188714e-08,2.0426021265773356e-08
12,6.0,3.593318976233755e-08,1.5996632643201697e-08,3.375172077155434e-08,1.4555624659791287e-08
13,6.5,2.8012663697020708e-08,7.595866756618395e-09,2.764393115550687e-08,7.464802106995181e-09
14,7.0,2.530012537829451e-08,2.9403961497350966e-09,2.848356990005997e-08,2.986872255637313e-09
15,7.5,1.7216850901858776e-08,1.1842143013011836e-09,1.7808720505912342e-08,1.285342996398429e-09
16,8.0,1.4632881119079807e-08,5.46744193710627e-10,1.5224739011622128e-08,6.760528183521433e-10
17,8.5,2.1452544828108088e-08,4.0623768980184923e-10,2.2995390450965397e-08,4.5635241582034467e-10
18,9.0,3.738743806743949e-08,3.554057219561262e-10,3.9090468857403686e-08,3.534434404617568e-10
19,9.5,1.3598238790392816e-07,3.360200711415794e-10,1.4323554252713344e-07,3.261423031637518e-10
20,10.0,2.35836814747392e-07,3.393622441443015e-10,2.431755936073101e-07,3.314427040923713e-10
21,10.5,5.55820472308914e-08,3.1498118361335344e-10,5.6743001099295804e-08,2.885754418980405e-10
22,11.0,2.9507873714485926e-09,2.9057575390166e-10,3.19343889536276e-09,2.459812776038945e-10
23,11.5,1.8886927145007816e-10,2.1916665711120167e-10,2.3954983013899724e-10,1.9965161093807642e-10
24,12.0,2.891920772837665e-11,1.5395470545536933e-10,5.868989949780062e-11,1.4600856858465756e-10
25,12.5,1.2353971341315154e-11,1.0405895716356151e-10,4.150624358233846e-11,1.0145289363850006e-10
26,13.0,8.935453614909494e-12,7.991902781679652e-11,3.6856191659884724e-11,8.456538309334304e-11
27,13.5,7.35620518851859e-12,6.478239129954125e-11,3.2547063171899755e-11,6.757786149333421e-11
28,14.0,6.276697577497521e-12,5.5908665217956517e-11,3.108707274363779e-11,5.398513448426719e-11
29,14.5,5.31442146154236e-12,4.439857405209556e-11,2.4726077439886496e-11,4.258938569539762e-11
30,15.0,4.5726920955861545e-12,3.9257182430647853e-11,2.4730456495219003e-11,3.8576620437429675e-11
31,15.5,4.010956687713621e-12,3.8108568133402835e-11,2.1427697097735256e-11,3.476713916048682e-11
32,16.0,3.5231575473207223e-12,3.616781446572835e-11,2.1328162469480546e-11,3.191050619183031e-11
33,16.5,3.143652219715146e-12,2.753429488023763e-11,1.8891362085845295e-11,2.511804027313927e-11
34,17.0,2.8075563268061332e-12,2.485157105701478e-11,1.8445589653827614e-11,2.31565377105714e-11
35,17.5,2.5404222384765443e-12,2.0379442155169027e-11,1.5383465683463752e-11,2.0299127666202525e-11
36,18.0,2.296944928731927e-12,1.714786511857427e-11,1.5736249215986042e-11,1.6555370810430607e-11
37,18.5,2.1041140936232525e-12,1.432551734100997e-11,1.4619383057549727e-11,1.4451402475087604e-11
38,19.0,1.9279311077491456e-12,1.3130616832646303e-11,1.3660879700710041e-11,1.4362212861395942e-11
39,19.5,1.7834487583980329e-12,1.2276910304100448e-11,1.2687385978980289e-11,1.3404070754007001e-11
40,20.0,1.6742404981156933e-12,1.0509339307876093e-11,1.2314647956786917e-11,9.95539194088883e-12
41,20.5,1.5243452632862062e-12,9.009727884413577e-12,1.2045871840458559e-11,8.989680670089753e-12
42,21.0,1.4198182228942973e-12,8.688665396287233e-12,1.1028542207977536e-11,8.623569921668391e-12
43,21.5,1.321124953965809e-12,7.023327157339246e-12,1.0063674501059399e-11,7.603733148084123e-12
44,22.0,1.2388364405805397e-12,6.5561586408198206e-12,1.0134384595749698e-11,6.0239490706453956e-12
45,22.5,1.1617971939147024e-12,5.559375885126352e-12,1.0059863881996772e-11,5.822700244767283e-12
46,23.0,1.092926110735186e-12,5.612165293071007e-12,9.030257735851462e-12,5.608414542813436e-12
47,23.5,1.0306237960210818e-12,5.1448414784856795e-12,8.941547234091433e-12,4.761606889685625e-12
48,24.0,9.735078210062816e-13,4.2364474719684856e-12,8.166913387657447e-12,4.4193967221659484e-12
49,24.5,9.213412795894779e-13,4.142849232392156e-12,7.920792663609803e-12,4.378054479277942e-12
50,25.0,8.735044243026184e-13,3.908846333806884e-12,7.703124413807828e-12,4.095311321663439e-12
51,25.5,8.295349117651062e-13,3.380138902862875e-12,7.168698660201515e-12,3.839663302575368e-12
52,26.0,7.889338321406909e-13,3.0890883336508895e-12,7.153699601230114e-12,3.6234357094675386e-12
53,26.5,7.51403619476748e-13,2.7846309522688556e-12,6.729352092607266e-12,3.2068459738471896e-12
54,27.0,7.166579468021259e-13,2.2653905696780692e-12,6.691124683868293e-12,2.8917260663675354e-12
55,27.5,6.843783262327646e-13,2.230804351197936e-12,5.997250513768956e-12,2.5850894752413137e-12
56,28.0,6.543158774570478e-13,1.900705639927336e-12,5.560726828687596e-12,2.403522648938659e-12
57,28.5,6.263328769566717e-13,1.993173177903878e-12,5.75025394720847e-12,2.4206905148986143e-12
58,29.0,6.001502503693768e-13,2.1130677051863016e-12,5.432973347361624e-12,2.058241048075982e-12
59,29.5,5.756395568876195e-13,1.8208620508751946e-12,5.7833296290096776e-12,1.9040164602161872e-12
60,30.0,5.527340882430103e-13,1.6226777956559207e-12,4.6095156611169236e-12,1.838466884386884e-12
61,30.5,5.312508201463336e-13,1.4683422750186773e-12,5.056611733887393e-12,1.885883087057216e-12
62,31.0,5.109547582256144e-13,1.3990885649158733e-12,4.866428500496169e-12,1.6017040189068782e-12
63,31.5,4.91904596092995e-13,1.2715541700668044e-12,4.694601891462872e-12,1.6616817205427359e-12
64,32.0,4.739363199198624e-13,1.1647023178722737e-12,4.241480772535387e-12,1.4842246449356323e-12
65,32.5,4.569773536520836e-13,1.0830763599535744e-12,4.530261997791941e-12,1.4122198912539253e-12
66,33.0,4.409549789209601e-13,9.875925301621178e-13,4.090636809133184e-12,1.2477147728767203e-12
67,33.5,4.2579272908093625e-13,8.720702748409506e-13,4.265123848655328e-12,1.3910777140753746e-12
68,34.0,4.1142862088769916e-13,8.599331414891001e-13,4.0715483824797555e-12,1.2558815901525517e-12
69,34.5,3.9781679543738547e-13,1.0064438976486124e-12,3.6219344889513076e-12,1.092969922518309e-12
70,35.0,3.848810959652654e-13,9.3080824743262e-13,3.824661030905647e-12,9.36463583656625e-13
71,35.5,3.726021850741618e-13,8.267565136085116e-13,3.3691175581930433e-12,1.027464743992723e-12
72,36.0,3.609196740099211e-13,6.457520560238588e-13,3.748846169700024e-12,1.1276703855051457e-12
