,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.774825458450782e-10,1.1700581299936412e-08,1.8868528559920153e-10,1.0900145978846342e-08
1,0.5,1.5242770696981513e-10,7.756846796758761e-08,2.535600364368657e-10,7.979267005158114e-08
2,1.0,1.0146723935886676e-11,4.143468587688714e-08,1.4274878381919455e-10,4.131334810604945e-08
3,1.5,2.1015121133338145e-11,2.7491789837913335e-08,2.288798815640941e-10,2.736928542078065e-08
4,2.0,1.847059002291479e-10,2.129597429703873e-08,5.246362005469107e-10,2.155479763028654e-08
5,2.5,1.7290687838626895e-09,1.4078663995291342e-08,2.0593068367522118e-09,1.4112027759876162e-08
6,3.0,1.0992271299516055e-08,1.1407028826379324e-08,1.128798431178945e-08,1.0939166820127609e-08
7,3.5,2.9252627157740912e-08,1.114598585220811e-08,2.7585916035754914e-08,1.1900366580535767e-08
8,4.0,5.611560393273707e-08,1.2401681480620204e-08,5.265340972801885e-08,1.2709046898821703e-08
9,4.5,8.510417232616332e-08,1.6426119234070775e-08,8.409491160970945e-08,1.570216715249861e-08
10,5.0,7.265190175388013e-08,1.7964340978914998e-08,6.991696926262248e-08,1.694364946249734e-08
11,5.5,4.9869864401407576e-08,1.833309402423966e-08,5.016610224146146e-08,1.7674029959287894e-08
12,6.0,2.430818061630714e-08,1.323376082751566e-08,2.660518667686323e-08,1.2527849999085431e-08
13,6.5,2.3569020334957727e-08,7.056897851419384e-09,2.5571242788123052e-08,6.817536142003758e-09
14,7.0,2.559069451684351e-08,2.7926600653476735e-09,2.7256801223746946e-08,2.8722754947047513e-09
15,7.5,1.512258073886452e-08,9.52820746826674e-10,1.6685176768353572e-08,1.0614477719127467e-09
16,8.0,1.2810034354279386e-08,4.2937192111335063e-10,1.382473604998236e-08,4.897837791860428e-10
17,8.5,2.265925352499718e-08,3.251707297490164e-10,2.2929443474934304e-08,3.5061358951781275e-10
18,9.0,2.9715301355553424e-08,2.999517803115451e-10,3.153310613223803e-08,2.951191031445559e-10
19,9.5,1.0050914761379916e-07,3.142926047324865e-10,1.0522566909418122e-07,2.903252759013374e-10
20,10.0,1.825092137774879e-07,3.287173421796541e-10,1.8569536246423527e-07,3.189340308506193e-10
21,10.5,4.7418711406287314e-08,2.677014161893665e-10,4.778045159378368e-08,2.523710139158977e-10
22,11.0,2.340264292683913e-09,2.287009909532786e-10,2.3658271933992495e-09,2.1781534002304101e-10
23,11.5,1.558189375383473e-10,1.8880827268787624e-10,1.6589867932731437e-10,1.792174972219726e-10
24,12.0,2.7357812813751565e-11,1.4363577871038732e-10,3.5239573252951765e-11,1.3981183736216092e-10
25,12.5,9.4754370847269e-12,1.0238059947624216e-10,1.677248437642529e-11,1.0005986406547802e-10
26,13.0,7.29104433618424e-12,7.247130080284428e-11,1.3372984343312901e-11,6.895423423319977e-11
27,13.5,5.915798854093242e-12,5.314656380052854e-11,1.1153353052226261e-11,5.45639142257196e-11
28,14.0,5.0896953524625245e-12,4.0783343677613625e-11,1.0880641507078203e-11,4.135273855123661e-11
29,14.5,4.318471709883139e-12,3.7161628526742714e-11,9.620707044753766e-12,3.7615517363385004e-11
30,15.0,3.730738578873276e-12,3.5533310085249496e-11,9.116758838931601e-12,3.373165104263704e-11
31,15.5,3.285536249534809e-12,3.448485320300866e-11,8.277720281801485e-12,3.263530220338043e-11
32,16.0,2.89542514238936e-12,2.9900756106301477e-11,7.721105788180152e-12,2.867593519450122e-11
33,16.5,2.5885378038354266e-12,2.319903575159495e-11,7.239143277030412e-12,2.255277708502769e-11
34,17.0,2.3291351587875992e-12,1.9956849991397117e-11,6.949918644091783e-12,2.015947280879302e-11
35,17.5,2.1046930932081886e-12,1.79600200479529e-11,6.63634573174042e-12,1.6968972555150757e-11
36,18.0,1.9153061039132554e-12,1.5453746108872136e-11,6.2276282347874296e-12,1.4580144836193054e-11
37,18.5,1.7594736423502174e-12,1.2902604627947806e-11,5.720489128879657e-12,1.2157354265979365e-11
38,19.0,1.6079553888822827e-12,1.101849320254152e-11,5.356255501281283e-12,1.0689261195898406e-11
39,19.5,1.4929913211179703e-12,9.98552052774302e-12,5.394075720639274e-12,1.0076717070384426e-11
40,20.0,1.4007687623775865e-12,9.364609694415775e-12,4.868746533811095e-12,9.379748954195473e-12
41,20.5,1.2945575310027803e-12,8.05792082154699e-12,4.718663367473779e-12,8.019524471341696e-12
42,21.0,1.19221394630903e-12,7.2362508946157405e-12,4.663067793123437e-12,6.737073535981151e-12
43,21.5,1.1177790501602917e-12,5.809686571631171e-12,4.381075268584777e-12,5.865649041890255e-12
44,22.0,1.0481424594618258e-12,5.674361824017685e-12,4.2247391250706164e-12,5.2626355433081114e-12
45,22.5,9.8453197914196e-13,5.053763802130275e-12,3.9017745913099096e-12,5.102956724926554e-12
