,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,1.9728533077277216e-10,1.4732382803573391e-08,2.2854454860583572e-10,1.2839934522133194e-08
1,0.5,9.176937460849595e-11,7.71673669915806e-08,1.9356502387471353e-10,7.89305035967108e-08
2,1.0,8.061693989008107e-13,4.886600448143913e-08,1.4713672377930047e-10,4.679494493207183e-08
3,1.5,1.6963209891255047e-11,2.6859401084940303e-08,2.0885522857585856e-10,2.7763747980959763e-08
4,2.0,2.4147510895690065e-10,1.584477477922873e-08,4.916149617545209e-10,1.6214641776636477e-08
5,2.5,2.152569362870058e-09,9.931186198672393e-09,2.577639830563589e-09,1.0525784829374962e-08
6,3.0,1.041447809333426e-08,9.1055553137616e-09,1.0356833065774601e-08,9.357634425387102e-09
7,3.5,2.825610225251774e-08,1.119062204183734e-08,2.7966193711001053e-08,1.140153850486545e-08
8,4.0,5.445167695383185e-08,1.4163231264226495e-08,5.3903825248106265e-08,1.3490005526556975e-08
9,4.5,8.271160692014397e-08,1.981728039923234e-08,8.161875240260139e-08,1.882936990870398e-08
10,5.0,6.86659377658431e-08,2.2852669641663847e-08,6.81259522977645e-08,2.2420950380201525e-08
11,5.5,5.0965132145641064e-08,2.3600750145880627e-08,4.471245168107046e-08,2.2559394784482178e-08
12,6.0,3.746311358667647e-08,1.441106144187016e-08,3.759767996226479e-08,1.4534520725757399e-08
13,6.5,2.528716894837901e-08,7.621086101330792e-09,2.4639841981326848e-08,7.49144586525604e-09
14,7.0,1.6011638608426686e-08,3.0899081872530864e-09,1.51893380682794e-08,3.188165221412434e-09
15,7.5,1.0217906181726418e-08,1.0164087372672302e-09,1.0919799014787627e-08,1.1325273699304007e-09
16,8.0,1.1741415982868574e-08,4.961726797776953e-10,1.3899410399075028e-08,5.530035620600387e-10
17,8.5,1.880002113859934e-08,3.7436154472392267e-10,2.0074586346098615e-08,4.1299850655478443e-10
18,9.0,3.773256273503712e-08,3.5488510152532885e-10,4.0066027652975795e-08,3.8481264731530897e-10
19,9.5,1.3607638522674521e-07,3.8001024192698625e-10,1.4275363654616572e-07,3.680584306378283e-10
20,10.0,2.2471464691559478e-07,3.813647611605288e-10,2.2802054764204028e-07,3.572751457713324e-10
21,10.5,6.303816529281867e-08,3.31326624997468e-10,6.265507960968668e-08,3.1874088957427734e-10
22,11.0,3.3039290146833503e-09,2.8964337874937794e-10,3.3180038003419237e-09,2.7861282495947663e-10
23,11.5,1.9920495858863493e-10,2.0540003072389175e-10,2.374060299378919e-10,2.0092472652514948e-10
24,12.0,1.8428482623173133e-11,1.4554138361191014e-10,3.3234002709343326e-11,1.440004179056208e-10
25,12.5,2.3208208313199958e-12,1.0594154841269725e-10,9.623731713659731e-12,1.0545667392101061e-10
26,13.0,5.353037787532205e-13,7.920287377676896e-11,5.267441087693218e-12,8.063063447277469e-11
27,13.5,1.6361628127466508e-13,6.124667407398266e-11,4.204866953608372e-12,6.431757572085573e-11
28,14.0,5.953678913946487e-14,5.085835788423587e-11,4.628201802882795e-12,5.102352282863927e-11
29,14.5,3.3255117207715366e-14,4.3315459560181614e-11,4.0431403353776786e-12,3.990696853799386e-11
30,15.0,1.6507812591908158e-14,4.305072459671358e-11,3.6279583723869487e-12,3.944046692792234e-11
31,15.5,8.09886903524253e-15,3.6723452046419753e-11,3.458552744535829e-12,3.627456092649113e-11
