,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,3.8682493614463945e-11,1.950529237011683e-09,4.8849449431540827e-11,1.849448729770898e-09
1,0.5,1.7924075460100437e-11,9.737840454165343e-09,4.888830181293699e-11,9.720463572902234e-09
2,1.0,1.1010430116259699e-13,4.469959536944042e-09,3.9457933095952836e-11,4.277451431890399e-09
3,1.5,2.0259486714772097e-12,2.1873958603083927e-09,5.256743130700793e-11,2.105704624003299e-09
4,2.0,2.6604892483851955e-11,1.1443537316265427e-09,1.0702424677955315e-10,1.1820446643006709e-09
5,2.5,2.1661543963224225e-10,6.457330720506459e-10,3.113982417407323e-10,6.531316848420172e-10
6,3.0,1.2155256434456064e-09,5.983860488729102e-10,1.1799487161562186e-09,6.239687871769033e-10
7,3.5,4.026763181978057e-09,8.337661790322661e-10,3.638200861080949e-09,9.203360971938251e-10
8,4.0,8.182512850140504e-09,1.6819878265044734e-09,7.589847183865724e-09,1.7463271228430271e-09
9,4.5,1.0647971095435493e-08,3.08456652021218e-09,9.742807715292832e-09,3.0649421411282177e-09
10,5.0,8.189607849394376e-09,4.663285785964949e-09,7.800298068361598e-09,4.361850878377037e-09
11,5.5,5.122780077676669e-09,5.072029611053478e-09,5.300429778424892e-09,4.780304975000957e-09
12,6.0,2.6330014252875767e-09,3.7304474603632435e-09,2.6601757078311005e-09,3.4692683789710723e-09
13,6.5,1.252420402055393e-09,1.8240031592110874e-09,1.2929227951147114e-09,1.7558919088738433e-09
14,7.0,5.698651157586999e-10,6.168198136159909e-10,6.326123976607776e-10,6.385016968031743e-10
15,7.5,3.2815377096919893e-10,1.6386105101866102e-10,4.0307887307151135e-10,1.8486813360089507e-10
16,8.0,3.092162735614611e-10,5.50978609518528e-11,3.6169111236013623e-10,6.943711355405178e-11
17,8.5,5.408430584639483e-10,3.199741930791988e-11,6.509642137473102e-10,4.1481364600135756e-11
18,9.0,2.8144725896160904e-09,3.1887850881336953e-11,3.0196923613530087e-09,3.539275920756843e-11
19,9.5,4.176883775604021e-08,4.56794084554411e-11,4.306146007311183e-08,4.5212779764991087e-11
20,10.0,1.1366324381012566e-07,5.852103512007574e-11,1.150320902181299e-07,5.6758392916582715e-11
21,10.5,3.359772240743363e-08,5.814911286976244e-11,3.3785423999398644e-08,5.457745232403274e-11
22,11.0,8.419885723890607e-10,5.450678709942221e-11,8.351052518882492e-10,4.9669884968152706e-11
23,11.5,2.1903423465245863e-11,4.4838569583646095e-11,2.386308821602111e-11,4.063619101310594e-11
24,12.0,1.8355625717712804e-12,3.4079836231099344e-11,3.3332979469384183e-12,3.025427236326734e-11
25,12.5,3.457831655603176e-13,1.9255171337357665e-11,1.2873786309031437e-12,1.7073403251749546e-11
26,13.0,1.0432943763078405e-13,1.0480382561821577e-11,1.0189108499390041e-12,1.086861091031442e-11
27,13.5,3.840987992309933e-14,7.66447837202468e-12,8.810253040345251e-13,7.473954007147783e-12
28,14.0,1.8378399774984716e-14,5.829469818400061e-12,8.781304343821381e-13,5.746906453982795e-12
29,14.5,1.1204945561760928e-14,4.859417681035929e-12,7.79635616141145e-13,4.874678634491278e-12
30,15.0,5.4461009933654176e-15,4.813921557434074e-12,7.683700225062968e-13,4.84155053208386e-12
31,15.5,2.3865138002757967e-15,4.877570496613802e-12,7.607086789057552e-13,4.9888823438691625e-12
32,16.0,1.4555639235419324e-15,4.984213575991987e-12,7.726803896641975e-13,4.8862732404300835e-12
33,16.5,9.111967678876627e-16,4.858742518811061e-12,7.485694140169214e-13,4.452598767583246e-12
34,17.0,5.731195890614815e-16,4.143320858642203e-12,7.672045894932148e-13,3.898942447410686e-12
35,17.5,4.027695179028855e-16,3.4956215502681944e-12,7.983036395688924e-13,3.1099572195777594e-12
36,18.0,3.1224533568626994e-16,2.6479243297043025e-12,7.960719838246974e-13,2.3831950254236265e-12
37,18.5,3.0190203891643566e-16,1.977305731402877e-12,7.643249613339523e-13,1.903421349156401e-12
38,19.0,6.568399528961038e-16,1.6420833106382914e-12,7.652393445329698e-13,1.534062362146875e-12
39,19.5,4.5375023148538095e-15,1.2940368621436764e-12,7.181859501539244e-13,1.2275615208195038e-12
40,20.0,1.2020139413222313e-14,1.1582538115718256e-12,6.732706373265371e-13,1.0989932267012377e-12
41,20.5,4.108631592594518e-15,1.0144996514729816e-12,6.733721542434602e-13,9.661429483152763e-13
42,21.0,3.09809189558283e-16,1.0101503168157034e-12,6.331501662069927e-13,9.434440138557744e-13
43,21.5,4.808582328525075e-17,9.211589068545564e-13,6.221342816166877e-13,9.136921171179813e-13
44,22.0,2.4872415325146544e-17,8.88584859836967e-13,5.73316091473287e-13,8.611509470609212e-13
45,22.5,1.9356888313641542e-17,8.696606349564545e-13,5.190674192333403e-13,8.316577305464544e-13
46,23.0,1.5275098156839218e-17,7.467572716270507e-13,4.839389522696892e-13,7.232921031598195e-13
47,23.5,1.2108039239953099e-17,6.648814581184068e-13,4.3304704699934e-13,6.452767401299633e-13
48,24.0,9.942043523205284e-18,5.887831627837054e-13,3.9355652258887803e-13,5.350861010048541e-13
49,24.5,8.09386784408375e-18,4.718955381782131e-13,3.3124849403679677e-13,4.594935634947358e-13
50,25.0,6.661818467084158e-18,3.97150322931216e-13,3.0002623035938576e-13,3.98324071393823e-13
51,25.5,5.557676749002455e-18,3.5597389141636357e-13,2.9141532567206134e-13,3.518447320838894e-13
52,26.0,4.611647012242174e-18,3.17520339104508e-13,2.732025910965609e-13,3.1965564034741217e-13
53,26.5,3.890552993274924e-18,3.0175495289039957e-13,2.5693996963834886e-13,3.0545870066554955e-13
54,27.0,3.276619085118905e-18,2.8110308256723494e-13,2.791397075993918e-13,2.864030820210794e-13
55,27.5,2.7847943527175393e-18,2.8315540941092364e-13,3.1058101841553545e-13,2.647927681465255e-13
56,28.0,2.3687838377657464e-18,2.620262429439302e-13,3.245007133055898e-13,2.56520749522503e-13
57,28.5,2.0362256226148455e-18,2.271774101833673e-13,3.0115258942111093e-13,2.392610318934372e-13
58,29.0,1.788270377558425e-18,2.082347935571719e-13,2.944385870577584e-13,2.129008392454652e-13
59,29.5,1.8178833630749565e-18,1.9606140188506222e-13,3.1246026491359374e-13,1.933946672315455e-13
60,30.0,1.8936879177199894e-18,1.7721634864554962e-13,3.076529152205601e-13,1.8303232391572193e-13
61,30.5,1.447467482950098e-18,1.5635523234863452e-13,3.0000300656798153e-13,1.6473475337002188e-13
62,31.0,1.0085565317651486e-18,1.433175113760906e-13,2.8909375446164706e-13,1.469585641032759e-13
63,31.5,8.738196367119078e-19,1.2183219014507914e-13,2.89439252831409e-13,1.300018048865128e-13
64,32.0,7.632256420861912e-19,1.1615754210895596e-13,2.8725935992497374e-13,1.1802836729571035e-13
65,32.5,6.753356344243438e-19,1.133329740270891e-13,2.504047920396251e-13,1.1933648499057895e-13
66,33.0,5.958409367665161e-19,1.1262256523578223e-13,2.14333342810015e-13,1.2144445434391403e-13
67,33.5,5.289290842701391e-19,1.0201052570744758e-13,2.0381695358773522e-13,1.02560943828237e-13
68,34.0,4.695335323312854e-19,8.813579372884444e-14,2.0629675133434798e-13,9.615936716087866e-14
69,34.5,4.2414697974153276e-19,8.048415351482689e-14,2.1331893142397024e-13,9.261474297191117e-14
70,35.0,3.7259538412424665e-19,7.776523411309845e-14,2.076725104627153e-13,8.991769706330502e-14
71,35.5,3.350576045157866e-19,7.451518395822538e-14,2.0690984684129609e-13,8.081711727868715e-14
72,36.0,3.002696681116957e-19,6.860019983263797e-14,2.0386467005982214e-13,7.675931060291207e-14
73,36.5,2.700595267408848e-19,6.576432749218245e-14,1.7435358176479786e-13,7.140266189885661e-14
74,37.0,2.431269426849149e-19,5.744115202518179e-14,1.474042892787911e-13,6.265672808456338e-14
75,37.5,2.1972367274475564e-19,5.514995635427224e-14,1.4630201409343564e-13,6.243760008423457e-14
76,38.0,1.9840564137683474e-19,5.1137133240913535e-14,1.5077494588325104e-13,6.002523026346017e-14
77,38.5,1.8014127674190713e-19,4.8731058687550613e-14,1.563194776556879e-13,5.614488723281861e-14
78,39.0,1.6316276496166392e-19,4.365625232677517e-14,1.4554673107308723e-13,5.3398111505252085e-14
79,39.5,1.4844267957297847e-19,4.178400599226748e-14,1.437665482080212e-13,5.1114845732531416e-14
80,40.0,1.361828475649558e-19,4.150351358340986e-14,1.4790424838879074e-13,4.677760379055483e-14
81,40.5,1.2319294425563105e-19,3.5866939704371805e-14,1.5075373992997263e-13,4.3945769294553956e-14
82,41.0,1.1272982926382304e-19,3.3472261230242874e-14,1.540565155276691e-13,4.090179956690957e-14
83,41.5,1.0306233172717406e-19,3.4242108504468156e-14,1.4093188991075483e-13,4.1791706479816675e-14
84,42.0,9.442038961605244e-20,3.2398386927146126e-14,1.424730192608263e-13,4.1222923224900165e-14
85,42.5,8.665164389058744e-20,2.974941904742096e-14,1.4714280282640976e-13,4.1662569755617317e-14
86,43.0,7.956945736623538e-20,2.8276360528627427e-14,1.4461005958956038e-13,3.587611956421387e-14
