,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,2.853956407806214e-10,1.9380657606468794e-08,3.170310597590251e-10,1.8623514717904425e-08
1,0.5,1.339382962738258e-10,9.43065808312704e-08,3.0921365650674816e-10,9.646386418341011e-08
2,1.0,8.078434540057204e-13,5.487975809534002e-08,2.703112427216851e-10,5.5965826950613606e-08
3,1.5,1.7541346112335476e-11,2.5213105419232915e-08,3.652875699344908e-10,2.7306602646108136e-08
4,2.0,2.7052169465031396e-10,1.594780800038405e-08,7.917616145279955e-10,1.7203208115213318e-08
5,2.5,2.189904351709087e-09,1.120756193823078e-08,2.889630170620247e-09,1.2494587123166493e-08
6,3.0,1.0810801607655164e-08,9.991021291519496e-09,1.1211665046333998e-08,1.1014961673228196e-08
7,3.5,3.172438126630995e-08,1.0916683851878298e-08,3.0291834486608667e-08,1.1126235298760302e-08
8,4.0,6.083632718205959e-08,1.272292508986566e-08,6.012374322091017e-08,1.3038155683910107e-08
9,4.5,8.912590791659928e-08,1.6838863581842266e-08,8.689570813658957e-08,1.7249202227550533e-08
10,5.0,8.124398967083893e-08,2.10671656823226e-08,8.820965886172428e-08,2.087184922847529e-08
11,5.5,5.5294473130986155e-08,2.314939622458146e-08,5.7313993511001266e-08,2.1323057482142473e-08
12,6.0,2.9036654944428726e-08,1.6404239730751635e-08,2.891764091811134e-08,1.5230985075413657e-08
13,6.5,3.1241120460892994e-08,7.931050211631391e-09,3.192217764437128e-08,7.531751287481195e-09
14,7.0,2.5059163683725156e-08,3.099866986781327e-09,2.701430902816462e-08,2.999161120580603e-09
15,7.5,1.203742418391307e-08,1.1621897867751522e-09,1.2931208035589476e-08,1.3021764318635932e-09
16,8.0,1.1819702756443353e-08,4.690794452093228e-10,1.3343172465614171e-08,6.538546416580673e-10
17,8.5,1.9839842796794768e-08,3.3027773544002546e-10,2.0867387781203603e-08,4.3285808636220785e-10
18,9.0,3.833430406382453e-08,3.157723607284415e-10,4.0577025526416e-08,3.3823199158368164e-10
19,9.5,1.4611608442465393e-07,3.2198666095917646e-10,1.5156524357602142e-07,3.2082814992210047e-10
20,10.0,2.2503774945419936e-07,3.46202534119286e-10,2.299386783680015e-07,3.1259719214134063e-10
21,10.5,6.572643867513272e-08,3.0958199482376046e-10,6.472466850321496e-08,2.9422678565243103e-10
22,11.0,3.6382444879787833e-09,3.1474792096874416e-10,3.6170399207101315e-09,2.907685793246233e-10
23,11.5,2.0997614647398464e-10,2.257937128677587e-10,2.51478474952795e-10,2.0582250400047146e-10
