,freq1,sig_all,amp_all,sig_sd,amp_sd
0,0.0,5.3496531365877104e-11,2.9692461336393596e-09,6.442880630620235e-11,3.0009552922319242e-09
1,0.5,2.5136677938330834e-11,1.6870774476617485e-08,3.831177441605887e-11,1.658767567472331e-08
2,1.0,1.6240016111185074e-13,8.145450119264653e-09,1.4203615803623064e-11,8.246447366335466e-09
3,1.5,3.460270333751544e-12,4.338578781700458e-09,2.2217517877296106e-11,4.523598001947146e-09
4,2.0,5.634591454649342e-11,2.445945831061447e-09,8.49272154762566e-11,2.5589977773008307e-09
5,2.5,4.656747981532507e-10,1.4735204731996708e-09,4.971536210505613e-10,1.5041444627068972e-09
6,3.0,2.180566110858187e-09,1.0154757359316281e-09,2.2197973703057774e-09,1.101128332544913e-09
7,3.5,6.961612550182033e-09,1.3507941776703914e-09,6.9865677962028525e-09,1.360008609074373e-09
8,4.0,1.4341263416661774e-08,2.1739754468404465e-09,1.42240676981429e-08,2.1908983578910704e-09
9,4.5,1.6267447766095868e-08,3.967160606458487e-09,1.651630527445925e-08,3.910259289390155e-09
10,5.0,1.1081380273652399e-08,6.003118945175018e-09,1.1454323933907397e-08,5.820981458489664e-09
11,5.5,7.188291298493414e-09,6.613807633895239e-09,7.336363033943966e-09,6.5215925415243265e-09
12,6.0,4.193102077151491e-09,4.913200357873101e-09,4.373673856936311e-09,4.785247580621161e-09
13,6.5,2.019629038556871e-09,2.508947443124092e-09,2.1577132148019464e-09,2.5045302128669995e-09
14,7.0,1.0834570183874801e-09,9.982113795998182e-10,1.1907056767397569e-09,1.0032044124435556e-09
15,7.5,7.262147680614743e-10,3.296268676326116e-10,8.085659961895994e-10,3.4264261835452844e-10
16,8.0,8.655607805042634e-10,9.835289349967344e-11,9.880416653824446e-10,1.1317571735654963e-10
17,8.5,1.57192821118125e-09,5.3451683511073e-11,1.7593658345967005e-09,5.772221347391372e-11
18,9.0,5.471338224104522e-09,4.808622200945438e-11,6.064047025400857e-09,5.063634086074848e-11
19,9.5,6.681071312443914e-08,6.058590336683586e-11,6.584112440384133e-08,6.155954281407547e-11
20,10.0,1.867808818607666e-07,8.292683330735114e-11,1.8726413835318563e-07,7.82119266933639e-11
21,10.5,5.396592604781295e-08,7.659778605627955e-11,5.399534427966627e-08,7.485593792259176e-11
22,11.0,1.4884264083306748e-09,7.408294779211606e-11,1.459771041829018e-09,6.979912046169059e-11
23,11.5,4.2506643335454694e-11,5.653808973012961e-11,5.2142406645897855e-11,5.300146939449654e-11
24,12.0,3.5555305157340724e-12,3.928937313301921e-11,7.265710378786192e-12,3.740785928900173e-11
25,12.5,5.932291452652755e-13,2.8148199499883428e-11,2.338221713997958e-12,2.7213746927244305e-11
26,13.0,1.4884777916751742e-13,1.845020192424409e-11,1.1178329900544727e-12,1.7985383338779802e-11
27,13.5,5.1600564857644946e-14,1.194214244525371e-11,6.858662777875993e-13,1.1907553400385856e-11
28,14.0,2.337059169058531e-14,8.301153334334437e-12,4.258327826309416e-13,8.935423254476485e-12
29,14.5,1.6263312459392367e-14,7.652581854376572e-12,3.1949498514523065e-13,7.982986435784074e-12
30,15.0,6.785783618976814e-15,7.438577769188876e-12,2.433221108302585e-13,7.564799145091942e-12
31,15.5,3.012455933045832e-15,7.770003389750603e-12,2.1044920119077758e-13,7.811547558991267e-12
32,16.0,1.843398526759944e-15,7.187451378530991e-12,1.7981713322894598e-13,6.9699563645316936e-12
33,16.5,1.1507303855369472e-15,6.525068002584243e-12,1.6544488052461666e-13,6.1127291464425796e-12
34,17.0,7.249963641908989e-16,5.146038124374116e-12,1.5472549601267723e-13,5.188946831211404e-12
35,17.5,5.367001388352998e-16,4.1565256089610844e-12,1.468037761399939e-13,4.125853671252847e-12
36,18.0,4.2234351068539163e-16,3.3004277053897027e-12,1.3742689042578086e-13,3.139525819713573e-12
37,18.5,4.990149067188946e-16,2.8000198275648515e-12,1.2927101196029006e-13,2.616904732319366e-12
38,19.0,1.0826109100736182e-15,2.531322187557474e-12,1.3179519654021713e-13,2.392454168888247e-12
39,19.5,7.606047762926307e-15,2.163154342837758e-12,1.3497595406617842e-13,2.132139577022068e-12
40,20.0,1.941344133713986e-14,1.898264223948236e-12,1.380351253039967e-13,1.910509272203833e-12
41,20.5,6.232918767957569e-15,1.7751124493570792e-12,1.1421781762659822e-13,1.6920181145477163e-12
42,21.0,5.218529479021431e-16,1.7207008543248995e-12,1.0066883245279263e-13,1.6417923245650518e-12
43,21.5,8.570216577652933e-17,1.3571976417411504e-12,1.0076107062518657e-13,1.3454702021977793e-12
44,22.0,3.438371543456147e-17,1.1379208045538994e-12,9.848777813531829e-14,1.1008757455599013e-12
45,22.5,2.2748223039013766e-17,1.086310723992691e-12,9.442288767269293e-14,1.0445062655067404e-12
46,23.0,1.781722988855119e-17,9.676522363081797e-13,9.577955425877518e-14,9.267558656295072e-13
47,23.5,1.415974061381138e-17,8.368797847858403e-13,9.973869630137167e-14,8.367082219847773e-13
48,24.0,1.1408818222235458e-17,7.291509415069656e-13,9.72897420509338e-14,7.406260897241244e-13
49,24.5,9.256693734925682e-18,7.462993957085371e-13,8.828257878842846e-14,7.253105011812146e-13
50,25.0,7.596564348497266e-18,6.924096667581011e-13,8.09534350461571e-14,6.866517638500424e-13
51,25.5,6.2522584788859835e-18,6.040095109565303e-13,8.077355854277947e-14,6.00550354821892e-13
52,26.0,5.2035278333817326e-18,5.05751067841191e-13,8.084847810799139e-14,5.182287127188427e-13
53,26.5,4.3175955069384884e-18,5.067436149172121e-13,7.520185188291832e-14,4.814644547936912e-13
54,27.0,3.6352672121412136e-18,4.51071214374333e-13,7.081211223932798e-14,4.208313627249249e-13
55,27.5,3.062171538898579e-18,3.864805524247222e-13,7.13113631945728e-14,3.704351851822327e-13
56,28.0,2.608297917282377e-18,3.234525755145846e-13,7.078399919751716e-14,3.1988991074869356e-13
57,28.5,2.2232560545721046e-18,3.020809788328755e-13,6.662696250505019e-14,3.002090371038204e-13
58,29.0,1.939311433922913e-18,3.0714646495691957e-13,6.338498989074668e-14,2.931053211598785e-13
59,29.5,1.9732255347652972e-18,2.756501907817431e-13,6.53911055848077e-14,2.64805889276244e-13
60,30.0,2.1306920354748348e-18,2.656852363873412e-13,6.848391861611847e-14,2.468383358025088e-13
61,30.5,1.4470445062153826e-18,2.380532910891972e-13,6.531980990270056e-14,2.2312445665190228e-13
62,31.0,1.1080061118611593e-18,2.159735592549633e-13,5.827361955220578e-14,2.1415721630627835e-13
63,31.5,9.147993088919572e-19,2.1452112846282793e-13,5.52065672883588e-14,2.257391351018212e-13
64,32.0,8.011688882880998e-19,2.00316638951839e-13,5.4549302477317006e-14,2.1626317279102404e-13
65,32.5,7.006793088930049e-19,1.8496942846513975e-13,5.1974348818219466e-14,1.8479991939367446e-13
